bank_to,k_symbol,account_to,account_id,amount,order_id
YZ,SIPO,87144583,1,2452.0,29401.0
ST,UVER,89597016,2,3372.7,29402.0
QR,SIPO,13943797,2,7266.0,29403.0
WX,SIPO,83084338,3,1135.0,29404.0
CD,NULL,24485939,3,327.0,29405.0
AB,POJISTNE,59972357,3,3539.0,29406.0
UV,SIPO,26693541,4,2078.0,29407.0
UV,SIPO,5848086,4,1285.0,29408.0
GH,SIPO,37390208,5,2668.0,29409.0
AB,SIPO,44486999,6,3954.0,29410.0
IJ,SIPO,34452903,7,4880.0,29411.0
UV,SIPO,12510681,8,2612.0,29412.0
IJ,NULL,93210345,8,6712.0,29413.0
UV,SIPO,18686104,10,7033.0,29414.0
QR,LEASING,93182509,10,1344.0,29415.0
ST,SIPO,38470870,11,2132.0,29416.0
CD,SIPO,23010808,12,297.0,29417.0
KL,SIPO,63607060,12,3295.0,29418.0
EF,SIPO,35443323,13,2444.0,29419.0
WX,SIPO,11793136,14,3629.0,29420.0
KL,SIPO,24265569,15,3072.0,29421.0
EF,SIPO,15076423,17,4032.0,29422.0
QR,UVER,14132368,19,2523.2,29423.0
AB,SIPO,3399968,20,2003.0,29425.0
YZ,SIPO,60152441,21,6276.0,29426.0
ST,SIPO,34691494,22,6352.0,29427.0
MN,SIPO,20774019,23,5807.0,29428.0
IJ,SIPO,50810194,24,221.0,29429.0
QR,NULL,46086388,24,7641.0,29430.0
YZ,UVER,1301700,25,2523.2,29431.0
IJ,SIPO,4896235,25,6817.0,29432.0
AB,NULL,79838293,25,1110.0,29433.0
WX,POJISTNE,52864879,25,164.0,29434.0
EF,SIPO,12891853,26,10387.0,29435.0
CD,SIPO,28175699,27,4054.0,29436.0
ST,SIPO,32924878,29,6871.0,29439.0
MN,NULL,93088209,29,829.0,29440.0
UV,POJISTNE,41335338,29,8.0,29441.0
EF,LEASING,66168540,30,2480.2,29442.0
ST,SIPO,42430687,31,10202.0,29443.0
KL,SIPO,33047658,33,3892.0,29444.0
WX,LEASING,21845197,34,1479.0,29445.0
GH,SIPO,19993174,34,502.0,29446.0
IJ,NULL,58999049,34,6070.0,29447.0
MN,SIPO,56788617,35,1022.0,29448.0
